pb_1,pb_2,pb_3,v_1,v_2,v_3
0.62135,-0.0073279,0.73476,-1.9222,-0.045469,-1.5154
0.61941,-0.0073733,0.73323,-1.9581,-0.045358,-1.5472
0.61743,-0.0074191,0.73166,-1.9931,-0.046268,-1.579
0.61542,-0.0074663,0.73007,-2.027,-0.048045,-1.6112
0.61338,-0.0075156,0.72844,-2.0596,-0.050494,-1.6438
0.6113,-0.0075675,0.72678,-2.0908,-0.053388,-1.677
0.6092,-0.0076224,0.72509,-2.1204,-0.056482,-1.7109
0.60706,-0.0076805,0.72336,-2.1485,-0.059523,-1.7455
0.6049,-0.0077413,0.72159,-2.1749,-0.062267,-1.7807
0.60272,-0.0078047,0.7198,-2.1999,-0.064487,-1.8165
0.6005,-0.00787,0.71796,-2.2236,-0.065988,-1.8527
0.59827,-0.0079363,0.71609,-2.2462,-0.066617,-1.8891
0.59601,-0.0080027,0.71418,-2.2678,-0.066265,-1.9257
0.59373,-0.0080683,0.71224,-2.2888,-0.064876,-1.9621
0.59143,-0.0081319,0.71026,-2.3095,-0.06245,-1.9981
0.58911,-0.0081927,0.70824,-2.33,-0.059037,-2.0336
0.58677,-0.0082496,0.70619,-2.3507,-0.054739,-2.0683
0.58441,-0.0083018,0.70411,-2.3716,-0.0497,-2.102
0.58203,-0.0083487,0.70199,-2.3931,-0.044099,-2.1347
0.57963,-0.0083898,0.69984,-2.4152,-0.038141,-2.1662
0.5772,-0.0084249,0.69766,-2.4381,-0.032044,-2.1964
0.57475,-0.0084539,0.69545,-2.4616,-0.026031,-2.2254
0.57228,-0.0084771,0.69321,-2.4857,-0.020315,-2.2531
0.56978,-0.0084948,0.69094,-2.5105,-0.01509,-2.2796
0.56726,-0.0085076,0.68865,-2.5356,-0.010519,-2.3052
0.56471,-0.0085162,0.68633,-2.561,-0.0067325,-2.3298
0.56213,-0.0085215,0.68399,-2.5864,-0.0038139,-2.3536
0.55953,-0.0085243,0.68162,-2.6116,-0.0018024,-2.377
0.55691,-0.0085256,0.67923,-2.6364,-0.00068951,-2.3999
0.55426,-0.0085261,0.67682,-2.6604,-0.00042029,-2.4227
0.55159,-0.0085268,0.67439,-2.6836,-0.00089752,-2.4454
0.5489,-0.0085282,0.67193,-2.7057,-0.0019873,-2.4683
0.54618,-0.008531,0.66945,-2.7265,-0.0035267,-2.4914
0.54344,-0.0085354,0.66695,-2.7461,-0.0053327,-2.5148
0.54069,-0.0085417,0.66442,-2.7642,-0.0072116,-2.5386
0.53792,-0.0085498,0.66187,-2.781,-0.0089699,-2.5627
0.53513,-0.0085595,0.6593,-2.7964,-0.010424,-2.5871
0.53232,-0.0085704,0.6567,-2.8106,-0.011408,-2.6117
0.52951,-0.008582,0.65407,-2.8237,-0.011785,-2.6364
0.52668,-0.0085936,0.65143,-2.8358,-0.011451,-2.6611
0.52383,-0.0086045,0.64875,-2.8472,-0.010341,-2.6856
0.52098,-0.0086139,0.64605,-2.858,-0.0084294,-2.7098
0.51812,-0.008621,0.64333,-2.8684,-0.0057348,-2.7334
0.51525,-0.008625,0.64059,-2.8787,-0.0023142,-2.7564
0.51236,-0.0086253,0.63782,-2.889,0.0017386,-2.7785
0.50947,-0.0086213,0.63503,-2.8995,0.006299,-2.7997
0.50656,-0.0086125,0.63222,-2.9103,0.011219,-2.8198
0.50365,-0.0085987,0.62939,-2.9215,0.016333,-2.8388
0.50072,-0.0085798,0.62654,-2.933,0.02147,-2.8567
0.49778,-0.0085559,0.62368,-2.945,0.026461,-2.8734
0.49483,-0.0085271,0.6208,-2.9573,0.031147,-2.889
0.49187,-0.0084938,0.6179,-2.9698,0.035386,-2.9036
0.48889,-0.0084566,0.61499,-2.9825,0.039063,-2.9173
0.4859,-0.008416,0.61207,-2.9951,0.042094,-2.9302
0.4829,-0.0083727,0.60913,-3.0075,0.044428,-2.9424
0.47989,-0.0083275,0.60618,-3.0196,0.046052,-2.9542
0.47686,-0.008281,0.60322,-3.031,0.046989,-2.9655
0.47382,-0.0082338,0.60025,-3.0418,0.047296,-2.9766
0.47078,-0.0081866,0.59727,-3.0516,0.047061,-2.9875
0.46772,-0.0081399,0.59428,-3.0604,0.046399,-2.9985
0.46466,-0.008094,0.59127,-3.0681,0.045443,-3.0095
0.46159,-0.0080491,0.58826,-3.0747,0.044341,-3.0206
0.45851,-0.0080053,0.58523,-3.08,0.043242,-3.0319
0.45543,-0.0079625,0.58219,-3.0842,0.042294,-3.0432
0.45234,-0.0079206,0.57915,-3.0872,0.041632,-3.0546
0.44925,-0.0078791,0.57609,-3.0891,0.041377,-3.066
0.44616,-0.0078376,0.57301,-3.0902,0.041624,-3.0773
0.44307,-0.0077955,0.56993,-3.0904,0.042439,-3.0884
0.43998,-0.0077524,0.56684,-3.0901,0.043859,-3.0991
0.43689,-0.0077075,0.56373,-3.0892,0.045889,-3.1094
0.4338,-0.0076603,0.56062,-3.088,0.0485,-3.119
0.43072,-0.0076103,0.55749,-3.0867,0.051637,-3.128
0.42763,-0.0075568,0.55436,-3.0853,0.055214,-3.1361
0.42455,-0.0074997,0.55122,-3.084,0.059127,-3.1433
0.42146,-0.0074385,0.54808,-3.0828,0.063254,-3.1496
0.41838,-0.0073731,0.54492,-3.0818,0.067464,-3.1548
0.4153,-0.0073036,0.54177,-3.081,0.071626,-3.1591
0.41222,-0.0072299,0.53861,-3.0804,0.07561,-3.1623
0.40914,-0.0071525,0.53544,-3.08,0.079299,-3.1646
0.40606,-0.0070715,0.53228,-3.0795,0.082592,-3.166
0.40298,-0.0069875,0.52911,-3.0791,0.085411,-3.1666
0.3999,-0.006901,0.52594,-3.0784,0.087701,-3.1666
0.39682,-0.0068124,0.52278,-3.0775,0.089435,-3.1659
0.39375,-0.0067224,0.51961,-3.076,0.090617,-3.1648
0.39067,-0.0066314,0.51645,-3.074,0.091277,-3.1633
0.3876,-0.0065401,0.51329,-3.0713,0.091468,-3.1615
0.38453,-0.0064487,0.51013,-3.0678,0.09127,-3.1596
0.38146,-0.0063577,0.50697,-3.0633,0.090779,-3.1576
0.3784,-0.0062672,0.50381,-3.0578,0.090102,-3.1555
0.37535,-0.0061775,0.50066,-3.0514,0.089355,-3.1535
0.3723,-0.0060885,0.4975,-3.0439,0.088654,-3.1514
0.36926,-0.0060001,0.49435,-3.0355,0.08811,-3.1493
0.36623,-0.0059122,0.49121,-3.0261,0.087824,-3.1471
0.36321,-0.0058243,0.48806,-3.0159,0.087878,-3.1447
